correlation,244
regression,150
time-series,147
spatial,35
simulation,33
pca,33
logistic,32
lmer,30
arima,30
multivariate-analysis,28
repeated-measures,26
forecasting,25
factor-analysis,24
lme4,23
clustering,23
statistical-significance,22
data-visualization,22
nlme,18
glmm,15
covariance,14
matrix,12
anova,11
normal-distribution,11
distributions,11
gam,11
random-forest,11
prediction,10
bayesian,9
binomial,9
glmer,8
dataset,8
lags,7
linear,7
garch,7
multicollinearity,6
probability,6
poisson,6
variance,6
ranking,6
caret,5
distance,5
permutation,5
mathematical-statistics,5
mcmc,4
gaussian-process,3
dataframe,3
normalization,2
package,2
estimation,2
aic,2
qq-plot,2
ggplot2,2
k-means,2
bonferroni,2
mean,2
lognormal,1
igraph,1
sequence-analysis,1
tukey-hsd,1
latent-variable,1
glmnet,1
posterior,1
histogram,1
median,1
coefficient,1
genetics,1
entropy,1
bernoulli-distribution,1
deviance,1
quantiles,1
plm,1
microarray,1
